@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1257,720,1680,1310,370,0,77.97619,22.02381,0,0.755291,0.049995,0.191915,27.775264,63.971616,5580.839199,3453.163919,2127.67528,3.321928,2.055455,1.266473,4333.313374,2.579353,77.646268,0.428571,72,0.03836,58,0.96164,1454,0.571429,96,0.553846,0.428571,0.483221,0.43812,0.880051,0.505128,0.779762,0.024471,0.975529,0.220238,0.776664,0.779762,0.776776,0.753257,0.952139,0.784007,0.776776,0.779762,5.056,0.018,4.959261,0.017575,4959.261,17.575,40029,144115,333235,86.964286,14.214286,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1257,720,1680,1402,278,0,83.452381,16.547619,0,0.816138,0.038762,0.162563,21.534172,54.187694,5580.839199,2131.225662,3449.613538,3.321928,1.268587,2.053341,4650.872049,2.768376,83.336428,0.559524,94,0.050926,77,0.949074,1435,0.440476,74,0.549708,0.559524,0.554572,0.504618,0.89664,0.540274,0.834524,0.018386,0.981614,0.165476,0.838884,0.834524,0.835593,0.817883,0.967852,0.854392,0.835593,0.834524,15.117,0.038,14.906963,0.037627,14906.963,37.627,106874,312633,724473,91.369048,13.863095,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1258,720,1680,1423,257,0,84.702381,15.297619,0,0.830026,0.038078,0.161779,21.15443,53.926254,5580.839199,2230.332679,3350.50652,3.321928,1.327579,1.994349,4668.157415,2.778665,83.646155,0.363095,61,0.017857,27,0.982143,1485,0.636905,107,0.693182,0.363095,0.476563,0.464875,0.901384,0.533223,0.847024,0.016997,0.983003,0.152976,0.865916,0.847024,0.845768,0.835575,0.972333,0.881222,0.845768,0.847024,37.047,0.104,36.740288,0.102165,36740.288,102.165,300365,597370,1385530,91.428571,13.755952,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.5 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1258,720,1680,1299,381,0,77.321429,22.678571,0,0.748016,0.050408,0.194217,28.004536,64.738898,5580.839199,3559.169334,2021.669865,3.321928,2.118553,1.203375,4302.215998,2.560843,77.089051,0.642857,108,0.082672,125,0.917328,1387,0.357143,60,0.463519,0.642857,0.538653,0.486239,0.880708,0.469706,0.773214,0.025198,0.974802,0.226786,0.775627,0.773214,0.768701,0.747209,0.953157,0.793706,0.768701,0.773214,5.125,0.016,5.037355,0.015776,5037.355,15.776,40029,144115,333235,86.130952,14.053571,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.5 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1258,720,1680,1392,288,0,82.857143,17.142857,0,0.809524,0.039781,0.1665,22.100436,55.500118,5580.839199,2340.422596,3240.416604,3.321928,1.393109,1.928819,4617.539889,2.748536,82.739167,0.52381,88,0.041005,62,0.958995,1450,0.47619,80,0.586667,0.52381,0.553459,0.507937,0.894763,0.575272,0.828571,0.019048,0.980952,0.171429,0.832409,0.828571,0.828567,0.810731,0.964861,0.850579,0.828567,0.828571,11.302,0.044,11.21179,0.038905,11211.79,38.905,106874,312633,724473,91.071429,13.732143,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.5 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1259,720,1680,1423,257,0,84.702381,15.297619,0,0.830026,0.035988,0.162853,19.993271,54.284181,5580.839199,3457.275528,2123.563671,3.321928,2.057902,1.264026,4688.846252,2.79098,84.016867,0.35119,59,0.01455,22,0.98545,1490,0.64881,109,0.728395,0.35119,0.473896,0.471444,0.924997,0.641265,0.847024,0.016997,0.983003,0.152976,0.865659,0.847024,0.844758,0.835048,0.97474,0.881408,0.844758,0.847024,44.26,0.094,43.916782,0.093568,43916.782,93.568,300365,597370,1385530,90.297619,12.839286,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.6 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1259,720,1680,1281,399,0,76.25,23.75,0,0.736111,0.051906,0.20251,28.836496,67.503467,5580.839199,4485.587367,1095.251833,3.321928,2.669992,0.651936,4232.478148,2.519332,75.839457,0.22619,38,0.013889,21,0.986111,1491,0.77381,130,0.644068,0.22619,0.334802,0.345992,0.883641,0.516365,0.7625,0.026389,0.973611,0.2375,0.775788,0.7625,0.754807,0.737239,0.947141,0.779963,0.754807,0.7625,5.173,0.017,5.135034,0.016766,5135.034,16.766,40029,144115,333235,84.047619,13.309524,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.6 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1259,720,1680,1381,299,0,82.202381,17.797619,0,0.802249,0.042667,0.169953,23.703986,56.651002,5580.839199,2468.229333,3112.609867,3.321928,1.469184,1.852744,4569.742699,2.720085,81.882716,0.339286,57,0.023148,35,0.976852,1477,0.660714,111,0.619565,0.339286,0.438462,0.416857,0.902219,0.517368,0.822024,0.019775,0.980225,0.177976,0.83965,0.822024,0.821454,0.807749,0.963034,0.843162,0.821454,0.822024,14.394,0.02,14.28423,0.020242,14284.23,20.242,106874,312633,724473,90.47619,14.077381,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.6 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.13,720,1680,1331,349,0,79.22619,20.77381,0,0.76918,0.045272,0.191709,25.150901,63.902982,5580.839199,5267.503135,313.336064,3.321928,3.135419,0.18651,4387.131744,2.611388,78.61061,0.410714,69,0.01918,29,0.98082,1483,0.589286,99,0.704082,0.410714,0.518797,0.501169,0.899132,0.57585,0.792262,0.023082,0.976918,0.207738,0.811394,0.792262,0.787632,0.773688,0.964981,0.845069,0.787632,0.792262,38.241,0.106,37.061138,0.104325,37061.138,104.325,300365,597370,1385530,85.059524,12.672619,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.13,720,1680,1260,420,0,75,25,0,0.722222,0.054921,0.200757,30.511542,66.918856,5580.839199,3762.624615,1818.214585,3.321928,2.239658,1.082271,4208.367023,2.50498,75.407423,0.22619,38,0.025794,39,0.974206,1473,0.77381,130,0.493506,0.22619,0.310204,0.287481,0.877378,0.441333,0.75,0.027778,0.972222,0.25,0.760639,0.75,0.745144,0.723958,0.948298,0.783822,0.745144,0.75,3.588,0.009,3.568745,0.008651,3568.745,8.651,40029,144115,333235,85.714286,14.696429,?
