@relation InstanceResultListener

@attribute Key_Dataset {signs}
@attribute Key_Run {1}
@attribute Key_Scheme {weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.5 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.6 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.7 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.8 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.9 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 1.0 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.3 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.5 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.6 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.7 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.9 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 100 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 200 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 300 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 400 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 600 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 700 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 800 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 900 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 1000 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 10 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 30 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 40 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 50 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 60 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 70 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 80 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 90 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 100 -H a'}
@attribute Key_Scheme_version_ID {-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.0958,1680,720,595,125,0,82.638889,17.361111,0,0.807099,0.045608,0.164071,25.337998,54.690204,2391.788228,847.858353,1543.929875,3.321928,1.177581,2.144347,1957.739919,2.719083,81.852561,0.680556,49,0.078704,51,0.921296,597,0.319444,23,0.49,0.680556,0.569767,0.522093,0.90475,0.569571,0.826389,0.01929,0.98071,0.173611,0.832867,0.826389,0.824934,0.808665,0.965758,0.858904,0.824934,0.826389,7.695,0.003,7.632078,0.003639,7632.078,3.639,40029,333235,144115,92.777778,16.694444,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.0958,1680,720,617,103,0,85.694444,14.305556,0,0.841049,0.033605,0.143845,18.669325,47.948369,2391.788228,556.357958,1835.43027,3.321928,0.772719,2.549209,2063.85078,2.866459,86.289027,0.833333,60,0.092593,60,0.907407,588,0.166667,12,0.5,0.833333,0.625,0.596285,0.940994,0.754467,0.856944,0.015895,0.984105,0.143056,0.87508,0.856944,0.856369,0.846633,0.982206,0.920567,0.856369,0.856944,23.245,0.009,22.928263,0.008653,22928.263,8.653,106874,724473,312633,96.111111,14.416667,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1,1680,720,654,66,0,90.833333,9.166667,0,0.898148,0.024054,0.119019,13.363144,39.67308,2391.788228,428.633806,1963.154423,3.321928,0.595325,2.726603,2162.344157,3.003256,90.407007,0.833333,60,0.04321,28,0.95679,620,0.166667,12,0.681818,0.833333,0.75,0.723684,0.966499,0.822673,0.908333,0.010185,0.989815,0.091667,0.912091,0.908333,0.906423,0.89858,0.98887,0.94882,0.906423,0.908333,110.598,0.046,104.073038,0.042858,104073.038,42.858,300365,1385530,597370,96.25,13.611111,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1,1680,720,592,128,0,82.222222,17.777778,0,0.802469,0.042217,0.167783,23.453614,55.927524,2391.788228,955.526287,1436.261942,3.321928,1.32712,1.994808,1965.868982,2.730374,82.192435,0.694444,50,0.074074,48,0.925926,600,0.305556,22,0.510204,0.694444,0.588235,0.542746,0.898298,0.536748,0.822222,0.019753,0.980247,0.177778,0.826833,0.822222,0.820418,0.803318,0.966163,0.85373,0.820418,0.822222,14.665,0.005,13.688297,0.004752,13688.297,4.752,40029,333235,144115,92.222222,14.569444,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1001,1680,720,615,105,0,85.416667,14.583333,0,0.837963,0.034194,0.156101,18.996691,52.033519,2391.788228,817.838555,1573.949674,3.321928,1.135887,2.186041,2029.778604,2.819137,84.864478,0.791667,57,0.080247,52,0.919753,596,0.208333,15,0.522936,0.791667,0.629834,0.595451,0.938079,0.647947,0.854167,0.016204,0.983796,0.145833,0.867129,0.854167,0.855704,0.842701,0.975186,0.886176,0.855704,0.854167,40.408,0.013,37.976958,0.011242,37976.958,11.242,106874,724473,312633,92.361111,13.097222,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1003,1680,720,657,63,0,91.25,8.75,0,0.902778,0.021459,0.120652,11.92182,40.217456,2391.788228,500.735886,1891.052342,3.321928,0.695467,2.626462,2172.061303,3.016752,90.813278,0.847222,61,0.046296,30,0.953704,618,0.152778,11,0.67033,0.847222,0.748466,0.723103,0.959919,0.827768,0.9125,0.009722,0.990278,0.0875,0.917873,0.9125,0.912359,0.904408,0.988696,0.948217,0.912359,0.9125,127.129,0.051,119.480542,0.04793,119480.542,47.93,300365,1385530,597370,95.833333,12.125,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1003,1680,720,586,134,0,81.388889,18.611111,0,0.79321,0.040312,0.168219,22.395651,56.073158,2391.788228,1241.342449,1150.445779,3.321928,1.724087,1.597841,1974.414127,2.742242,82.549705,0.722222,52,0.072531,47,0.927469,601,0.277778,20,0.525253,0.722222,0.608187,0.565975,0.893519,0.595483,0.813889,0.020679,0.979321,0.186111,0.822646,0.813889,0.811853,0.795271,0.964039,0.858339,0.811853,0.813889,14.682,0.008,13.624448,0.006942,13624.448,6.942,40029,333235,144115,90.972222,13.611111,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1004,1680,720,630,90,0,87.5,12.5,0,0.861111,0.029979,0.145528,16.655159,48.509376,2391.788228,795.27653,1596.511698,3.321928,1.104551,2.217377,2080.211444,2.889183,86.973061,0.708333,51,0.063272,41,0.936728,607,0.291667,21,0.554348,0.708333,0.621951,0.579671,0.918489,0.609772,0.875,0.013889,0.986111,0.125,0.882395,0.875,0.877118,0.864223,0.977538,0.892848,0.877118,0.875,42.305,0.018,39.197284,0.016711,39197.284,16.711,106874,724473,312633,92.916667,12.611111,?
signs,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20191201.1006,1680,720,646,74,0,89.722222,10.277778,0,0.885802,0.024953,0.133934,13.862796,44.644733,2391.788228,816.452017,1575.336212,3.321928,1.133961,2.187967,2129.972465,2.958295,89.053556,0.861111,62,0.052469,34,0.947531,614,0.138889,10,0.645833,0.861111,0.738095,0.713645,0.958548,0.825148,0.897222,0.01142,0.98858,0.102778,0.905238,0.897222,0.896812,0.888155,0.981046,0.930899,0.896812,0.897222,129.226,0.045,120.104503,0.043153,120104.503,43.153,300365,1385530,597370,93.055556,12.111111,?
